Date,Price,Open,High,Low,Change%
"Nov 14, 2019",3.271,3.265,3.273,3.253,0.31%
"Nov 13, 2019",3.261,3.304,3.304,3.255,0.12%
"Nov 12, 2019",3.257,3.235,3.263,3.229,0.09%
"Nov 11, 2019",3.254,3.34,3.34,3.254,-1.09%
"Nov 08, 2019",3.29,3.287,3.316,3.287,0.37%
"Nov 07, 2019",3.278,3.3,3.3,3.267,0.28%
"Nov 06, 2019",3.269,3.325,3.325,3.259,-0.43%
"Nov 05, 2019",3.283,3.314,3.331,3.26,-0.48%
"Nov 04, 2019",3.299,3.3,3.318,3.288,0.49%
"Nov 01, 2019",3.283,3.343,3.343,3.281,0.06%
"Oct 31, 2019",3.281,3.378,3.378,3.28,-1.32%
"Oct 30, 2019",3.325,3.323,3.336,3.318,0.24%
"Oct 29, 2019",3.317,3.315,3.323,3.285,0.91%
"Oct 28, 2019",3.287,3.25,3.295,3.25,0.98%
"Oct 25, 2019",3.255,3.244,3.259,3.239,0.65%
"Oct 24, 2019",3.234,3.242,3.262,3.233,0.00%
"Oct 23, 2019",3.234,3.243,3.248,3.221,0.03%
"Oct 22, 2019",3.233,3.22,3.243,3.22,0.56%
"Oct 21, 2019",3.215,3.25,3.25,3.198,0.69%
"Oct 18, 2019",3.193,3.195,3.201,3.17,0.13%
"Oct 17, 2019",3.189,3.201,3.201,3.187,0.00%
"Oct 16, 2019",3.189,3.185,3.194,3.179,0.25%
"Oct 15, 2019",3.181,3.213,3.213,3.178,-0.41%
"Oct 14, 2019",3.194,3.2,3.208,3.184,0.66%
"Oct 12, 2019",3.173,3.199,3.199,3.172,0.32%
"Oct 11, 2019",3.163,3.17,3.17,3.161,0.70%
"Oct 10, 2019",3.141,3.156,3.156,3.136,0.71%
"Oct 09, 2019",3.119,3.181,3.181,3.115,-0.64%
"Oct 08, 2019",3.139,3.19,3.208,3.128,-0.51%
"Sep 30, 2019",3.155,3.18,3.18,3.155,-0.25%
"Sep 29, 2019",3.163,3.215,3.215,3.163,0.16%
"Sep 27, 2019",3.158,3.158,3.16,3.145,0.41%
"Sep 26, 2019",3.145,3.144,3.149,3.126,0.13%
"Sep 25, 2019",3.141,3.127,3.143,3.122,0.45%
"Sep 24, 2019",3.127,3.112,3.131,3.107,0.48%
"Sep 23, 2019",3.112,3.13,3.131,3.098,-0.19%
"Sep 21, 2019",3.118,3.118,3.118,3.118,0.00%
"Sep 20, 2019",3.118,3.165,3.165,3.114,-0.61%
"Sep 19, 2019",3.137,3.17,3.17,3.115,0.03%
"Sep 18, 2019",3.136,3.14,3.146,3.108,0.61%
"Sep 17, 2019",3.117,3.132,3.132,3.099,0.29%
"Sep 16, 2019",3.108,3.12,3.14,3.093,0.45%
"Sep 12, 2019",3.094,3.068,3.096,3.068,1.11%
"Sep 11, 2019",3.06,3.063,3.078,3.045,0.26%
"Sep 10, 2019",3.052,3.045,3.064,3.041,0.49%
"Sep 09, 2019",3.037,3.085,3.085,3.034,0.46%
"Sep 06, 2019",3.023,3.075,3.075,3.015,-0.79%
"Sep 05, 2019",3.047,3.078,3.078,3.047,-1.10%
"Sep 04, 2019",3.081,3.088,3.108,3.08,0.13%
"Sep 03, 2019",3.077,3.102,3.102,3.077,-0.03%
"Sep 02, 2019",3.078,3.08,3.082,3.066,0.33%
"Aug 30, 2019",3.068,3.058,3.075,3.057,0.62%
"Aug 29, 2019",3.049,3.078,3.085,3.047,-0.68%
"Aug 28, 2019",3.07,3.075,3.08,3.066,-0.16%
"Aug 27, 2019",3.075,3.086,3.086,3.068,-0.19%
"Aug 26, 2019",3.081,3.035,3.082,3.028,0.36%
"Aug 23, 2019",3.07,3.086,3.099,3.063,-0.23%
"Aug 22, 2019",3.077,3.068,3.083,3.068,0.49%
"Aug 21, 2019",3.062,3.048,3.065,3.048,0.79%
"Aug 20, 2019",3.038,3.041,3.051,3.038,-0.10%
"Aug 19, 2019",3.041,3.062,3.062,3.035,0.36%
"Aug 16, 2019",3.03,3.035,3.047,3.022,0.10%
"Aug 15, 2019",3.027,3.028,3.035,3.015,-0.03%
"Aug 14, 2019",3.028,3.034,3.041,3.024,0.17%
"Aug 13, 2019",3.023,3.05,3.055,3.02,-0.79%
"Aug 12, 2019",3.047,3.09,3.09,3.045,0.26%
"Aug 09, 2019",3.039,3.051,3.075,3.019,-0.39%
"Aug 08, 2019",3.051,3.105,3.105,3.048,-0.72%
"Aug 07, 2019",3.073,3.083,3.113,3.07,-0.16%
"Aug 06, 2019",3.078,3.073,3.088,3.051,0.39%
"Aug 05, 2019",3.066,3.16,3.16,3.058,-1.10%
"Aug 03, 2019",3.1,3.149,3.149,3.1,-1.24%
"Aug 02, 2019",3.139,3.177,3.177,3.128,-0.92%
"Aug 01, 2019",3.168,3.192,3.194,3.168,-0.47%
"Jul 31, 2019",3.183,3.199,3.2,3.165,-0.41%
"Jul 30, 2019",3.196,3.203,3.22,3.193,-0.28%
"Jul 29, 2019",3.205,3.2,3.205,3.178,0.94%
"Jul 26, 2019",3.175,3.194,3.196,3.175,-0.22%
"Jul 25, 2019",3.182,3.187,3.206,3.169,0.13%
"Jul 24, 2019",3.178,3.174,3.187,3.171,0.51%
"Jul 23, 2019",3.162,3.165,3.18,3.14,0.16%
"Jul 22, 2019",3.157,3.183,3.183,3.157,-0.50%
"Jul 19, 2019",3.173,3.221,3.221,3.173,-0.56%
"Jul 18, 2019",3.191,3.198,3.211,3.191,-0.09%
"Jul 17, 2019",3.194,3.198,3.213,3.192,0.19%
"Jul 16, 2019",3.188,3.189,3.203,3.187,0.03%
"Jul 15, 2019",3.187,3.25,3.25,3.155,-0.06%
"Jul 12, 2019",3.189,3.192,3.21,3.189,0.35%
"Jul 11, 2019",3.178,3.188,3.203,3.155,-0.28%
"Jul 10, 2019",3.187,3.22,3.228,3.186,-0.16%
"Jul 09, 2019",3.192,3.205,3.24,3.192,-0.09%
"Jul 08, 2019",3.195,3.2,3.2,3.189,0.22%
"Jul 05, 2019",3.188,3.179,3.189,3.175,0.38%
"Jul 04, 2019",3.176,3.208,3.208,3.174,-0.53%
"Jul 03, 2019",3.193,3.238,3.238,3.178,-1.11%
"Jul 02, 2019",3.229,3.262,3.268,3.229,-1.01%
"Jul 01, 2019",3.262,3.315,3.315,3.248,-0.52%
"Jun 28, 2019",3.279,3.285,3.298,3.278,-0.09%
"Jun 27, 2019",3.282,3.28,3.282,3.273,0.12%
"Jun 26, 2019",3.278,3.271,3.278,3.265,0.21%
"Jun 25, 2019",3.271,3.266,3.271,3.263,0.15%
"Jun 24, 2019",3.266,3.26,3.267,3.255,0.49%
"Jun 21, 2019",3.25,3.27,3.278,3.245,-0.82%
"Jun 20, 2019",3.277,3.27,3.277,3.25,0.68%
"Jun 19, 2019",3.255,3.27,3.27,3.253,-0.12%
"Jun 18, 2019",3.259,3.276,3.276,3.259,-0.24%
"Jun 17, 2019",3.267,3.27,3.27,3.25,-0.37%
"Jun 14, 2019",3.279,3.306,3.306,3.278,-0.33%
"Jun 13, 2019",3.29,3.319,3.319,3.287,-0.36%
"Jun 12, 2019",3.302,3.296,3.317,3.293,0.49%
"Jun 11, 2019",3.286,3.29,3.293,3.27,0.40%
"Jun 10, 2019",3.273,3.26,3.273,3.255,0.31%
"Jun 06, 2019",3.263,3.258,3.265,3.247,0.49%
"Jun 05, 2019",3.247,3.271,3.271,3.243,-0.37%
"Jun 04, 2019",3.259,3.291,3.296,3.257,-0.88%
"Jun 03, 2019",3.288,3.32,3.324,3.287,-0.27%
"May 31, 2019",3.297,3.332,3.347,3.294,-0.78%
"May 30, 2019",3.323,3.333,3.341,3.31,-0.15%
"May 29, 2019",3.328,3.381,3.381,3.319,-0.89%
"May 28, 2019",3.358,3.368,3.368,3.348,0.24%
"May 27, 2019",3.35,3.37,3.37,3.341,0.51%
"May 24, 2019",3.333,3.37,3.37,3.33,-0.18%
"May 23, 2019",3.339,3.4,3.4,3.305,0.66%
"May 22, 2019",3.317,3.316,3.333,3.311,0.27%
"May 21, 2019",3.308,3.313,3.314,3.302,0.30%
"May 20, 2019",3.298,3.38,3.38,3.29,0.46%
"May 17, 2019",3.283,3.335,3.335,3.265,-0.18%
"May 16, 2019",3.289,3.32,3.32,3.285,-0.93%
"May 15, 2019",3.32,3.302,3.322,3.298,0.73%
"May 14, 2019",3.296,3.312,3.33,3.296,-0.57%
"May 13, 2019",3.315,3.31,3.322,3.29,0.03%
"May 10, 2019",3.314,3.395,3.395,3.311,-0.48%
"May 09, 2019",3.33,3.343,3.366,3.32,-0.75%
"May 08, 2019",3.355,3.4,3.4,3.349,-0.27%
"May 07, 2019",3.364,3.415,3.415,3.358,-0.41%
"May 06, 2019",3.378,3.4,3.4,3.355,-0.79%
"May 05, 2019",3.405,3.39,3.405,3.39,-0.32%
"Apr 30, 2019",3.416,3.433,3.443,3.412,-0.41%
"Apr 29, 2019",3.43,3.48,3.48,3.42,0.44%
"Apr 28, 2019",3.415,3.41,3.415,3.41,-0.18%
"Apr 26, 2019",3.421,3.445,3.445,3.421,-0.35%
"Apr 25, 2019",3.433,3.455,3.475,3.413,-0.06%
"Apr 24, 2019",3.435,3.438,3.453,3.415,0.03%
"Apr 23, 2019",3.434,3.443,3.459,3.434,0.44%
"Apr 22, 2019",3.419,3.42,3.43,3.407,0.86%
"Apr 19, 2019",3.39,3.399,3.413,3.379,0.12%
"Apr 18, 2019",3.386,3.423,3.428,3.385,-1.20%
"Apr 17, 2019",3.427,3.42,3.445,3.409,0.68%
"Apr 16, 2019",3.404,3.39,3.41,3.383,0.86%
"Apr 15, 2019",3.375,3.4,3.425,3.371,1.32%
"Apr 12, 2019",3.331,3.307,3.335,3.307,1.15%
"Apr 11, 2019",3.293,3.318,3.332,3.276,-0.78%
"Apr 10, 2019",3.319,3.323,3.338,3.309,0.82%
"Apr 09, 2019",3.292,3.305,3.305,3.273,0.15%
"Apr 08, 2019",3.287,3.31,3.315,3.282,0.58%
"Apr 04, 2019",3.268,3.248,3.275,3.248,0.80%
"Apr 03, 2019",3.242,3.19,3.242,3.188,2.34%
"Apr 02, 2019",3.168,3.145,3.168,3.145,1.15%
"Apr 01, 2019",3.132,3.14,3.14,3.114,1.85%
"Mar 29, 2019",3.075,3.128,3.128,3.075,-0.45%
"Mar 28, 2019",3.089,3.11,3.111,3.087,-0.26%
"Mar 27, 2019",3.097,3.14,3.14,3.095,0.36%
