Date,ch_business_confidence,ch_consumer_confidence,ch_imports,ch_exports,ch_gdp_yoy,ch_industrial_production,ch_inflation_rate,ch_interest_rate,ch_retail_sales_yoy,ch_nonmanufacturing_pmi
01/01/1999,,98.52914,-7.4,3.3,7.661529858,11.5,-1,6.48,8.7,
01/02/1999,,98.62531,13.9,-11,,17.9,-1.2,6.39,5.9,
01/03/1999,,98.64953,-4.3,-10.3,,2.1,-1.3,6.39,10.6,
01/04/1999,,98.7114,22,-4,,9,-1.8,6.39,5.8,
01/05/1999,,98.84442,18.6,-7.4,,9.1,-2.2,6.39,5.7,
01/06/1999,,98.98032,21.5,4.1,,8.9,-2.2,6.39,5.3,
01/07/1999,,99.06927,22.6,-1.6,,9.1,-2.1,6.02,5.4,
01/08/1999,,99.23344,16.7,7.3,,9.3,-1.4,5.85,5.6,
01/09/1999,,99.35239,23.9,17.7,,9.5,-1.3,5.85,6,
01/10/1999,,99.44162,32.5,20.2,,8.2,-0.8,5.85,6.6,
01/11/1999,,99.56978,18.2,23.8,,7,-0.6,5.85,8.2,
01/12/1999,,99.73327,36.8,28.8,,7.6,-0.9,5.85,7.8,
01/01/2000,,99.8366,-1.1,2.2,8.490015851,7.4,-1,5.85,8,
01/02/2000,,99.92686,54.2,47.6,,8.9,-0.2,5.85,11.3,
01/03/2000,,100.0181,54.1,34.5,,12,0.7,5.85,10.5,
01/04/2000,,100.1093,23.9,35.9,,11.9,-0.2,5.85,9.3,
01/05/2000,,100.2024,32.8,38.8,,11.4,-0.3,5.85,9.1,
01/06/2000,,100.2824,24.3,29.6,,11.5,0.1,5.85,11.5,
01/07/2000,,100.3699,39.8,45,,12.2,0.5,5.85,8.9,
01/08/2000,,100.4769,40.1,24,,12.8,0.5,5.85,9.1,
01/09/2000,,100.5915,54.6,27.3,,12.8,0.3,5.85,9.3,
01/10/2000,,100.6796,35.7,23.7,,12,0,5.85,9.6,
01/11/2000,,100.7513,37.4,24.9,,11.4,0,5.85,10.4,
01/12/2000,,100.809,28,13.7,,10.6,1.3,5.85,8.7,
01/01/2001,,100.8478,22.9,8.5,8.335747097,10.4,1.5,5.85,8.8,
01/02/2001,,100.8702,1.9,0.1,,2.3,1.2,5.85,12.5,
01/03/2001,,100.92,35.8,28.4,,19,0,5.85,8.6,
01/04/2001,,100.987,16.5,14.4,,12.1,0.8,5.85,9.5,
