Date,Price,Open,High,Low,Vol.,Change %
"Dec 27, 2019",171.61,171.69,171.79,171.42,168.14K,0.11%
"Dec 23, 2019",171.43,171.56,171.88,171.3,193.93K,-0.06%
"Dec 20, 2019",171.54,171.26,171.63,171.06,304.51K,0.15%
"Dec 19, 2019",171.28,171.6,171.66,170.9,562.47K,-0.12%
"Dec 18, 2019",171.48,172.11,172.4,171.35,485.08K,-0.38%
"Dec 17, 2019",172.13,172.03,172.29,171.96,417.67K,0.12%
"Dec 16, 2019",171.92,172.16,172.43,171.8,511.32K,-0.10%
"Dec 13, 2019",172.1,171.23,172.31,170.75,729.47K,0.20%
"Dec 12, 2019",171.75,172.7,172.99,171.61,665.98K,-0.51%
"Dec 11, 2019",172.63,172.31,172.88,172.17,431.70K,0.23%
"Dec 10, 2019",172.23,172.34,172.45,172.07,488.02K,-0.08%
"Dec 09, 2019",172.37,172.1,172.59,172.02,374.59K,1.08%
"Dec 06, 2019",170.53,170.37,170.53,170.18,12.90K,0.12%
"Dec 05, 2019",170.32,170.7,170.84,170.06,147.38K,-0.22%
"Dec 04, 2019",170.7,171.06,171.31,170.56,966.54K,-0.20%
"Dec 03, 2019",171.04,170.02,171.14,169.74,1.65M,0.66%
"Dec 02, 2019",169.92,170.99,171,169.85,1.68M,-0.67%
"Nov 29, 2019",171.07,171.29,171.4,170.91,884.11K,-0.11%
"Nov 28, 2019",171.26,171.42,171.6,171.16,486.68K,-0.05%
"Nov 27, 2019",171.35,171.3,171.52,171.13,639.29K,-0.06%
"Nov 26, 2019",171.45,171.04,171.49,170.88,497.72K,0.21%
"Nov 25, 2019",171.09,171.15,171.24,170.94,473.06K,-0.09%
"Nov 22, 2019",171.24,170.65,171.27,170.31,687.67K,0.29%
"Nov 21, 2019",170.75,171.24,171.35,170.56,686.08K,-0.20%
"Nov 20, 2019",171.09,171,171.56,170.95,703.99K,0.11%
"Nov 19, 2019",170.91,170.84,171,170.66,448.05K,0.04%
"Nov 18, 2019",170.84,170.89,171.06,170.55,481.34K,-0.01%
"Nov 15, 2019",170.85,170.92,171.05,170.65,413.78K,-0.08%
"Nov 14, 2019",170.99,170.26,171.15,170.26,620.54K,0.37%
"Nov 13, 2019",170.36,169.75,170.45,169.67,703.02K,0.48%
"Nov 12, 2019",169.54,169.67,169.83,169.26,576.49K,-0.01%
"Nov 11, 2019",169.56,169.64,169.99,169.46,350.12K,-0.08%
"Nov 08, 2019",169.69,169.4,169.89,169.12,693.21K,0.07%
"Nov 07, 2019",169.57,170.87,170.97,169.17,1.14M,-0.64%
"Nov 06, 2019",170.67,170.45,170.94,170.22,567.25K,0.08%
"Nov 05, 2019",170.53,170.9,170.95,170.3,736.20K,-0.27%
"Nov 04, 2019",170.99,171.47,171.47,170.91,449.13K,-0.25%
"Nov 01, 2019",171.42,171.84,171.99,171.35,485.30K,-0.20%
"Oct 31, 2019",171.76,171.24,172.03,171.17,723.72K,0.41%
"Oct 30, 2019",171.06,171.05,171.36,170.79,520.84K,0.01%
"Oct 29, 2019",171.04,170.68,171.14,170.6,507.31K,0.20%
"Oct 28, 2019",170.7,171.26,171.35,170.56,569.51K,-0.38%
"Oct 25, 2019",171.35,171.67,171.8,171.12,480.14K,-0.28%
"Oct 24, 2019",171.83,171.55,171.96,171.16,705.59K,0.09%
"Oct 23, 2019",171.67,171.68,171.93,171.44,490.85K,0.15%
"Oct 22, 2019",171.42,170.88,171.73,170.76,533.81K,0.31%
"Oct 21, 2019",170.89,171.45,171.46,170.78,432.61K,-0.35%
"Oct 18, 2019",171.49,171.73,171.88,171.24,441.62K,-0.13%
"Oct 17, 2019",171.72,171.64,171.93,170.73,845.84K,0.08%
"Oct 16, 2019",171.58,171.72,172.29,171.37,884.39K,-0.18%
"Oct 15, 2019",171.89,172.57,172.82,171.63,742.15K,-0.40%
"Oct 14, 2019",172.58,172.38,172.94,172.32,405.05K,0.11%
"Oct 11, 2019",172.39,172.67,173.15,172.08,951.59K,-0.35%
"Oct 10, 2019",173,174.06,174.14,172.57,793.96K,-0.60%
"Oct 09, 2019",174.05,174.52,174.56,173.85,481.56K,-0.35%
"Oct 08, 2019",174.67,174.24,174.69,173.86,556.10K,0.21%
"Oct 07, 2019",174.31,174.54,174.72,174.17,337.41K,-0.10%
"Oct 04, 2019",174.49,174.53,174.75,174.33,429.51K,0.02%
"Oct 03, 2019",174.46,173.88,174.78,173.88,618.53K,0.39%
"Oct 02, 2019",173.79,173.86,174.04,173.6,612.93K,-0.24%
"Oct 01, 2019",174.2,174.23,174.25,173.31,848.64K,-0.03%
"Sep 30, 2019",174.25,174.35,174.36,173.77,531.34K,0.02%
"Sep 27, 2019",174.21,174.35,174.54,174.05,451.67K,-0.06%
"Sep 26, 2019",174.32,174.11,174.46,174.03,523.32K,-0.02%
"Sep 25, 2019",174.36,174.88,174.97,173.93,692.84K,-0.21%
"Sep 24, 2019",174.73,174.19,174.88,174.03,576.51K,0.11%
"Sep 23, 2019",174.54,173.6,174.64,173.29,683.11K,0.62%
"Sep 20, 2019",173.47,173.32,173.84,173.23,475.45K,0.10%
"Sep 19, 2019",173.3,173.07,173.4,172.86,531.38K,-0.04%
"Sep 18, 2019",173.37,172.87,173.48,172.65,505.36K,0.29%
"Sep 17, 2019",172.87,172.99,173.16,172.67,581.50K,-0.06%
"Sep 16, 2019",172.98,172.51,173.13,172.4,600.07K,0.31%
"Sep 13, 2019",172.44,173.52,173.63,172.18,949.71K,-0.86%
"Sep 12, 2019",173.93,174.03,175.62,173.23,1.24M,-0.18%
"Sep 11, 2019",174.24,173.8,174.38,173.65,619.52K,0.15%
"Sep 10, 2019",173.98,174.31,174.52,173.75,711.97K,-0.15%
"Sep 09, 2019",174.24,175.21,175.3,174.19,645.23K,-1.95%
"Sep 06, 2019",177.7,177.35,177.78,177.09,8.21K,0.22%
"Sep 05, 2019",177.31,178.57,178.57,176.97,225.60K,-0.68%
"Sep 04, 2019",178.52,178.97,179,177.98,972.35K,-0.45%
"Sep 03, 2019",179.32,178.89,179.67,178.81,1.61M,0.20%
"Sep 02, 2019",178.96,179.18,179.2,178.6,608.73K,-0.08%
"Aug 30, 2019",179.1,178.91,179.27,178.63,721.96K,0.09%
"Aug 29, 2019",178.94,179.2,179.36,178.57,734.95K,-0.20%
"Aug 28, 2019",179.3,179,179.46,178.88,709.33K,0.20%
"Aug 27, 2019",178.94,178.51,179.07,178.45,518.17K,0.24%
"Aug 26, 2019",178.52,179.08,179.21,178.22,448.01K,-0.01%
"Aug 23, 2019",178.54,178.01,178.83,177.48,648.61K,0.28%
"Aug 22, 2019",178.04,178.73,178.94,177.65,886.66K,-0.36%
"Aug 21, 2019",178.68,178.76,178.83,178.19,545.22K,-0.12%
"Aug 20, 2019",178.9,178.19,179.19,178.19,638.04K,0.42%
"Aug 19, 2019",178.15,178.72,178.84,177.82,738.53K,-0.25%
"Aug 16, 2019",178.6,179.39,179.58,178.14,739.02K,-0.26%
"Aug 15, 2019",179.06,178.4,179.66,178.18,885.06K,0.42%
"Aug 14, 2019",178.31,177.71,178.49,177.62,638.59K,0.35%
"Aug 13, 2019",177.68,177.5,177.84,177.31,579.11K,0.14%
"Aug 12, 2019",177.44,177.15,177.68,177.03,340.32K,0.16%
"Aug 09, 2019",177.16,177.5,177.55,176.96,535.28K,0.13%
"Aug 08, 2019",176.93,177,177.42,176.38,851.12K,-0.24%
"Aug 07, 2019",177.36,176.75,177.74,176.72,801.06K,0.44%
"Aug 06, 2019",176.58,176.61,176.74,176.12,538.52K,0.20%
"Aug 05, 2019",176.22,175.98,176.63,175.93,588.13K,0.23%
"Aug 02, 2019",175.82,175.72,176.1,175.62,864.96K,0.22%
"Aug 01, 2019",175.44,175.03,175.88,174.73,728.99K,0.21%
"Jul 31, 2019",175.07,174.61,175.28,174.52,594.05K,0.30%
"Jul 30, 2019",174.55,174.43,174.65,174.36,402.73K,0.05%
"Jul 29, 2019",174.46,174.32,174.57,174.27,390.38K,0.14%
"Jul 26, 2019",174.21,174.25,174.3,173.92,407.41K,0.11%
"Jul 25, 2019",174.01,174.26,174.92,173.49,985.68K,-0.17%
"Jul 24, 2019",174.3,173.78,174.51,173.74,600.27K,0.22%
"Jul 23, 2019",173.91,173.61,173.97,173.56,397.22K,0.07%
"Jul 22, 2019",173.78,173.39,173.79,173.29,408.71K,0.22%
