Date,eu_business_confidence,eu_composite_pmi,eu_consumer_confidence,eu_consumer_credit_change,eu_consumer_spending,eu_core_inflation_rate,eu_current_account,eu_disposasble_personal_income,eu_exports,eu_gdp,eu_gdp_yoy,eu_government_bond_10Y,eu_government_budget,eu_government_debt_to_gdp,eu_house_price_index,eu_households_debt_to_gdp,eu_imports,eu_industrial_production,eu_inflation_rate,eu_interest_rate,eu_manufacturing_pmi,eu_manufacturing_production,eu_money_supply_m2,eu_personal_savings_ratio,eu_population,eu_ppi_change_yoy,eu_retail_sales_yoy,eu_services_pmi,eu_stock_market,eu_unemployed_persons,eu_unemployment_rate,eu_wages,eu_youth_unemployment_rate,eu_zew_economic_sentiment_index
01/01/1999,-0.48,0,-1.8,414705.344,0,1.4,-8.97,0,53045.9,0,0,3.635,0,0,0,0,55698.4,1,0.8,3,0,0.4,3932527,0,0,-2.2,1.8,0,0,14207,10.1,0,18.9,-15.7
01/02/1999,-0.6,0,-2.1,418987.939,0,1.3,-3.02,0,58934.3,0,0,4.001,0,0,0,0,57061.8,-1.1,0.8,3,0,-1.5,3906623,0,0,-2,2.3,0,0,14104,10,0,18.6,-1.4
01/03/1999,-0.52,0,-3.4,424107.56,1150.7112,1.3,2.84,1072012,71490.4,0,2.2,3.994,0,0,0,46,68808.7,-0.6,1,3,0,-0.7,3932158,14.52,0,-1.9,3.4,0,0,14023,9.9,1212,18.5,13
01/04/1999,-0.61,0,-5.8,425977.644,0,1.2,3.04,0,64361.6,0,0,3.834,0,0,0,0,62294.5,-0.4,1.1,2.5,0,-0.5,3949081,0,0,-1.5,2.2,0,0,14006,9.9,0,18.1,30.5
01/05/1999,-0.52,0,-5.3,429320.816,0,1.2,-8.24,0,62271.4,0,0,4.129,0,0,0,0,63145.3,-0.9,1,2.5,0,-1.1,3969126,0,0,-1.4,1.3,0,0,13938,9.9,0,18,47.9
01/06/1999,-0.29,0,-5.6,432830.204,1158.45,1.1,2.4,1079111,71965.7,0,2.4,4.48,0,0,0,46.8,66411.5,0.6,0.9,2.5,0,0.5,3988287,14.08,0,-1,3,0,0,13894,9.8,1229,17.9,59.9
01/07/1999,-0.19,0,-3.9,435414.486,0,1.2,4.9,0,74655.1,0,0,4.825,0,0,0,0,65033.4,0.6,1.1,2.5,0,0.5,4024144,0,0,-0.4,2.1,0,0,13804,9.8,0,17.4,75.4
01/08/1999,-0.07,0,-4.3,436348.193,0,1.1,-4.44,0,59895.4,0,0,4.904,0,0,0,0,59345.8,2.4,1.2,2.5,0,2.7,4024145,0,0,0,1.8,0,0,13739,9.7,0,17.2,77.9
01/09/1999,0.14,0,-3.8,439642.924,1170.7128,1,-8.4,1090877,70787.2,0,2.9,5.129,0,0,0,47.2,71751.9,1.8,1.2,2.5,0,2,4030564,13.61,0,0.5,1,0,0,13661,9.7,1238,17,79.9
01/10/1999,0.37,0,-2.6,438146.242,0,0.9,-3.68,0,74954,0,0,5.103,0,0,0,0,71581,2.8,1.4,2.5,0,2.8,4051101,0,0,1.3,3.3,0,0,13550,9.6,0,17,83.4
