Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 27, 2019","7,632.20","7,665.40","7,622.50","7,644.90","7,644.90","311,117,100"
"Dec 24, 2019","7,623.60","7,636.20","7,608.20","7,632.20","7,632.20","185,671,600"
"Dec 23, 2019","7,582.50","7,628.20","7,559.60","7,623.60","7,623.60","539,145,700"
"Dec 20, 2019","7,573.80","7,599.50","7,564.60","7,582.50","7,582.50","1,159,724,000"
"Dec 19, 2019","7,540.80","7,575.90","7,526.10","7,573.80","7,573.80","661,933,000"
"Dec 18, 2019","7,525.30","7,557.10","7,515.20","7,540.80","7,540.80","679,287,600"
"Dec 17, 2019","7,519.10","7,537.70","7,497.20","7,525.30","7,525.30","1,096,514,900"
"Dec 16, 2019","7,353.40","7,552.70","7,353.20","7,519.10","7,519.10","1,045,291,600"
"Dec 13, 2019","7,273.50","7,429.00","7,223.40","7,353.40","7,353.40","1,906,667,700"
"Dec 12, 2019","7,216.30","7,307.40","7,216.10","7,273.50","7,273.50","727,087,300"
"Dec 11, 2019","7,213.80","7,250.70","7,195.50","7,216.30","7,216.30","820,837,400"
"Dec 10, 2019","7,233.90","7,234.40","7,137.80","7,213.80","7,213.80","703,527,300"
"Dec 09, 2019","7,239.70","7,255.70","7,217.80","7,233.90","7,233.90","619,399,300"
"Dec 06, 2019","7,137.90","7,241.50","7,137.90","7,239.70","7,239.70","516,373,000"
"Dec 05, 2019","7,188.50","7,194.80","7,131.20","7,137.90","7,137.90","650,618,500"
"Dec 04, 2019","7,158.80","7,190.00","7,139.90","7,188.50","7,188.50","688,011,100"
"Dec 03, 2019","7,285.90","7,285.90","7,134.90","7,158.80","7,158.80","824,932,200"
"Dec 02, 2019","7,346.50","7,400.30","7,277.00","7,285.90","7,285.90","928,558,400"
"Nov 29, 2019","7,416.40","7,421.40","7,346.50","7,346.50","7,346.50","627,336,500"
"Nov 28, 2019","7,429.80","7,429.80","7,385.30","7,416.40","7,416.40","605,369,500"
"Nov 27, 2019","7,403.10","7,446.00","7,400.40","7,429.80","7,429.80","626,246,700"
"Nov 26, 2019","7,396.30","7,421.30","7,385.00","7,403.10","7,403.10","1,058,651,500"
"Nov 25, 2019","7,326.80","7,401.80","7,326.80","7,396.30","7,396.30","570,982,800"
"Nov 22, 2019","7,238.60","7,343.30","7,238.50","7,326.80","7,326.80","611,242,800"
"Nov 21, 2019","7,262.50","7,262.50","7,197.30","7,238.60","7,238.60","608,185,000"
"Nov 20, 2019","7,323.80","7,323.80","7,219.10","7,262.50","7,262.50","814,232,500"
"Nov 19, 2019","7,307.70","7,404.50","7,307.70","7,323.80","7,323.80","605,672,300"
"Nov 18, 2019","7,302.90","7,335.40","7,293.40","7,307.70","7,307.70","764,459,700"
"Nov 15, 2019","7,292.80","7,335.60","7,243.20","7,302.90","7,302.90","770,473,200"
"Nov 14, 2019","7,351.20","7,351.30","7,292.80","7,292.80","7,292.80","675,226,500"
"Nov 13, 2019","7,365.40","7,365.40","7,301.70","7,351.20","7,351.20","695,720,800"
"Nov 12, 2019","7,328.50","7,390.00","7,328.20","7,365.40","7,365.40","754,644,000"
"Nov 11, 2019","7,359.40","7,359.40","7,258.50","7,328.50","7,328.50","828,425,100"
"Nov 08, 2019","7,406.40","7,406.80","7,349.10","7,359.40","7,359.40","551,986,100"
"Nov 07, 2019","7,396.70","7,431.90","7,396.00","7,406.40","7,406.40","668,773,400"
"Nov 06, 2019","7,388.10","7,398.80","7,363.60","7,396.70","7,396.70","618,514,700"
"Nov 05, 2019","7,369.70","7,402.80","7,369.60","7,388.10","7,388.10","673,186,900"
"Nov 04, 2019","7,302.40","7,392.70","7,302.40","7,369.70","7,369.70","582,661,700"
"Nov 01, 2019","7,248.40","7,307.20","7,248.40","7,302.40","7,302.40","582,078,600"
"Oct 31, 2019","7,330.80","7,335.20","7,245.20","7,248.40","7,248.40","847,657,500"
"Oct 30, 2019","7,306.30","7,334.00","7,278.20","7,330.80","7,330.80","672,191,900"
"Oct 29, 2019","7,331.30","7,335.70","7,264.70","7,306.30","7,306.30","710,020,700"
"Oct 28, 2019","7,324.50","7,346.90","7,291.60","7,331.30","7,331.30","676,041,800"
"Oct 25, 2019","7,328.30","7,331.20","7,279.80","7,324.50","7,324.50","580,305,100"
"Oct 24, 2019","7,260.70","7,338.90","7,255.50","7,328.30","7,328.30","733,646,100"
"Oct 23, 2019","7,212.50","7,265.90","7,194.10","7,260.70","7,260.70","764,933,300"
"Oct 22, 2019","7,163.60","7,230.20","7,146.70","7,212.50","7,212.50","800,741,400"
"Oct 21, 2019","7,150.60","7,197.50","7,139.40","7,163.60","7,163.60","853,632,700"
"Oct 18, 2019","7,182.30","7,197.10","7,146.10","7,150.60","7,150.60","869,346,100"
"Oct 17, 2019","7,168.00","7,237.80","7,162.00","7,182.30","7,182.30","1,126,096,700"
"Oct 16, 2019","7,211.60","7,217.60","7,149.80","7,168.00","7,168.00","1,000,484,300"
"Oct 15, 2019","7,213.50","7,242.40","7,176.70","7,211.60","7,211.60","1,123,687,400"
"Oct 14, 2019","7,247.10","7,251.80","7,194.20","7,213.50","7,213.50","780,579,200"
"Oct 11, 2019","7,186.40","7,250.10","7,144.70","7,247.10","7,247.10","1,507,692,000"
