Date,Price,Open,High,Low,Change%
"Dec 27, 2019",-0.252,-0.259,-0.237,-0.259,2.86%
"Dec 26, 2019",-0.245,-0.246,-0.245,-0.246,0.00%
"Dec 25, 2019",-0.245,-0.246,-0.245,-0.246,0.20%
"Dec 24, 2019",-0.244,-0.246,-0.244,-0.246,2.30%
"Dec 23, 2019",-0.239,-0.256,-0.235,-0.272,-4.40%
"Dec 20, 2019",-0.25,-0.236,-0.218,-0.253,6.84%
"Dec 19, 2019",-0.234,-0.247,-0.208,-0.251,-5.65%
"Dec 18, 2019",-0.248,-0.292,-0.237,-0.306,-15.36%
"Dec 17, 2019",-0.293,-0.294,-0.276,-0.299,6.55%
"Dec 16, 2019",-0.275,-0.284,-0.266,-0.308,-5.17%
"Dec 13, 2019",-0.29,-0.221,-0.215,-0.297,7.81%
"Dec 12, 2019",-0.269,-0.325,-0.259,-0.342,-16.46%
"Dec 11, 2019",-0.322,-0.296,-0.293,-0.323,8.78%
"Dec 10, 2019",-0.296,-0.305,-0.283,-0.311,-3.58%
"Dec 09, 2019",-0.307,-0.289,-0.287,-0.322,6.97%
"Dec 06, 2019",-0.287,-0.293,-0.272,-0.312,-3.37%
"Dec 05, 2019",-0.297,-0.33,-0.276,-0.33,-5.11%
"Dec 04, 2019",-0.313,-0.345,-0.313,-0.365,-10.06%
"Dec 03, 2019",-0.348,-0.269,-0.26,-0.352,24.29%
"Dec 02, 2019",-0.28,-0.323,-0.269,-0.323,-22.22%
"Nov 29, 2019",-0.36,-0.363,-0.34,-0.374,0.00%
"Nov 28, 2019",-0.36,-0.37,-0.356,-0.386,-3.23%
"Nov 27, 2019",-0.372,-0.37,-0.355,-0.381,0.27%
"Nov 26, 2019",-0.371,-0.352,-0.339,-0.379,6.30%
"Nov 25, 2019",-0.349,-0.356,-0.343,-0.362,-2.79%
"Nov 22, 2019",-0.359,-0.321,-0.303,-0.365,10.12%
"Nov 21, 2019",-0.326,-0.355,-0.32,-0.361,-6.05%
"Nov 20, 2019",-0.347,-0.363,-0.346,-0.384,2.36%
"Nov 19, 2019",-0.339,-0.336,-0.323,-0.343,0.89%
