Date,Price,Open,High,Low,Vol,Change%
"Dec 30, 2019","1,517.35","1,517.00","1,518.95","1,516.05",-,0.02%
"Dec 29, 2019","1,517.05","1,515.45","1,517.45","1,515.25",-,-0.07%
"Dec 27, 2019","1,518.10","1,516.50","1,519.90","1,512.10",204.99K,0.24%
"Dec 26, 2019","1,514.40","1,503.90","1,517.40","1,502.10",216.61K,0.69%
"Dec 25, 2019","1,504.05","1,504.40","1,504.40","1,502.15",-,-0.05%
"Dec 24, 2019","1,504.80","1,489.80","1,505.00","1,488.10",183.68K,1.08%
"Dec 23, 2019","1,488.70","1,482.40","1,490.10","1,481.20",162.45K,0.53%
"Dec 20, 2019","1,480.90","1,482.70","1,484.80","1,479.50",140.77K,-0.24%
"Dec 19, 2019","1,484.40","1,479.40","1,485.80","1,477.10",201.19K,0.39%
"Dec 18, 2019","1,478.70","1,480.40","1,483.60","1,474.30",197.97K,-0.13%
"Dec 17, 2019","1,480.60","1,480.60","1,484.90","1,478.40",173.25K,0.01%
"Dec 16, 2019","1,480.50","1,480.00","1,484.50","1,477.40",165.85K,-0.05%
"Dec 13, 2019","1,481.20","1,470.80","1,482.50","1,465.50",356.68K,0.60%
"Dec 12, 2019","1,472.30","1,479.20","1,491.60","1,468.20",409.86K,-0.18%
"Dec 11, 2019","1,475.00","1,468.50","1,483.50","1,466.90",251.73K,0.47%
"Dec 10, 2019","1,468.10","1,466.30","1,473.70","1,464.20",228.83K,0.22%
"Dec 09, 2019","1,464.90","1,464.10","1,469.80","1,463.00",177.22K,-0.01%
"Dec 06, 2019","1,465.10","1,481.00","1,485.30","1,463.30",317.32K,-1.21%
"Dec 05, 2019","1,483.10","1,480.00","1,485.70","1,478.00",240.01K,0.20%
"Dec 04, 2019","1,480.20","1,483.20","1,489.90","1,476.70",319.73K,-0.28%
"Dec 03, 2019","1,484.40","1,468.00","1,487.70","1,465.40",400.90K,1.03%
"Dec 02, 2019","1,469.20","1,470.30","1,471.70","1,459.80",316.58K,-0.24%
"Nov 29, 2019","1,472.70","1,461.20","1,472.90","1,459.10",272.34K,0.71%
"Nov 28, 2019","1,462.25","1,463.25","1,464.55","1,460.75",-,0.10%
"Nov 27, 2019","1,460.80","1,468.30","1,469.10","1,459.10",232.12K,-0.45%
"Nov 26, 2019","1,467.40","1,461.30","1,470.00","1,456.60",285.63K,0.25%
"Nov 25, 2019","1,463.80","1,467.50","1,468.90","1,460.70",126.74K,-0.46%
"Nov 22, 2019","1,470.50","1,470.90","1,480.30","1,468.10",81.55K,0.00%
"Nov 21, 2019","1,470.50","1,481.30","1,482.70","1,469.40",75.50K,-0.71%
"Nov 20, 2019","1,481.00","1,481.40","1,486.00","1,473.00",58.28K,-0.01%
"Nov 19, 2019","1,481.20","1,477.90","1,482.60","1,471.80",35.81K,0.16%
"Nov 18, 2019","1,478.80","1,475.10","1,481.10","1,463.30",33.19K,0.23%
"Nov 15, 2019","1,475.40","1,478.70","1,478.90","1,469.80",31.13K,-0.32%
"Nov 14, 2019","1,480.20","1,471.70","1,482.20","1,468.70",43.48K,0.68%
"Nov 13, 2019","1,470.20","1,463.80","1,474.80","1,463.80",43.67K,0.66%
"Nov 12, 2019","1,460.60","1,463.00","1,468.10","1,453.10",94.34K,0.24%
"Nov 11, 2019","1,457.10","1,460.00","1,467.40","1,448.90",310.16K,-0.40%
"Nov 08, 2019","1,462.90","1,469.00","1,473.90","1,457.00",447.07K,-0.24%
"Nov 07, 2019","1,466.40","1,492.10","1,493.60","1,461.40",674.98K,-1.79%
"Nov 06, 2019","1,493.10","1,484.30","1,495.90","1,483.80",313.72K,0.63%
"Nov 05, 2019","1,483.70","1,511.60","1,511.90","1,480.70",593.62K,-1.81%
"Nov 04, 2019","1,511.10","1,516.40","1,517.10","1,506.50",260.20K,-0.02%
"Nov 01, 2019","1,511.40","1,515.10","1,519.00","1,505.40",380.99K,-0.22%
"Oct 31, 2019","1,514.80","1,498.80","1,516.70","1,496.00",390.01K,1.21%
"Oct 30, 2019","1,496.70","1,490.50","1,499.30","1,483.10",353.64K,0.40%
"Oct 29, 2019","1,490.70","1,494.30","1,497.10","1,485.60",291.98K,-0.34%
"Oct 28, 2019","1,495.80","1,507.40","1,510.80","1,492.30",318.13K,-0.63%
"Oct 25, 2019","1,505.30","1,506.40","1,520.90","1,503.10",368.74K,0.04%
"Oct 24, 2019","1,504.70","1,495.10","1,506.90","1,490.40",305.01K,0.60%
"Oct 23, 2019","1,495.70","1,491.10","1,499.40","1,490.70",244.62K,0.55%
"Oct 22, 2019","1,487.50","1,487.50","1,492.10","1,484.00",208.97K,-0.04%
"Oct 21, 2019","1,488.10","1,495.60","1,498.70","1,484.80",284.29K,-0.40%
"Oct 18, 2019","1,494.10","1,495.60","1,497.90","1,488.30",232.55K,-0.28%
"Oct 17, 2019","1,498.30","1,494.20","1,501.10","1,487.00",305.67K,0.29%
"Oct 16, 2019","1,494.00","1,484.80","1,495.50","1,480.60",367.90K,0.71%
"Oct 15, 2019","1,483.50","1,497.70","1,503.00","1,480.80",317.99K,-0.94%
"Oct 14, 2019","1,497.60","1,492.00","1,501.50","1,487.10",228.32K,0.60%
"Oct 11, 2019","1,488.70","1,498.30","1,508.00","1,478.00",485.96K,-0.81%
"Oct 10, 2019","1,500.90","1,510.80","1,522.30","1,495.70",417.88K,-0.79%
"Oct 09, 2019","1,512.80","1,510.90","1,518.00","1,505.10",285.28K,0.59%
"Oct 08, 2019","1,503.90","1,498.70","1,515.30","1,492.10",371.44K,-0.03%
"Oct 07, 2019","1,504.40","1,518.60","1,518.80","1,493.30",257.78K,-0.56%
"Oct 04, 2019","1,512.90","1,511.60","1,522.20","1,501.40",344.79K,-0.06%
"Oct 03, 2019","1,513.80","1,505.60","1,525.80","1,501.70",408.74K,0.39%
"Oct 02, 2019","1,507.90","1,485.40","1,511.40","1,480.50",393.10K,1.27%
"Oct 01, 2019","1,489.00","1,478.00","1,493.50","1,465.00",450.17K,1.09%
"Sep 30, 2019","1,472.90","1,501.70","1,507.20","1,470.50",439.71K,-2.22%
"Sep 27, 2019","1,506.40","1,511.80","1,519.50","1,493.30",451.93K,-0.58%
"Sep 26, 2019","1,515.20","1,510.90","1,542.80","1,507.10",378.29K,0.19%
"Sep 25, 2019","1,512.30","1,539.80","1,543.30","1,507.40",481.46K,-1.81%
"Sep 24, 2019","1,540.20","1,529.80","1,543.30","1,517.90",424.86K,0.57%
"Sep 23, 2019","1,531.50","1,521.50","1,534.40","1,505.30",359.88K,1.08%
"Sep 20, 2019","1,515.10","1,506.80","1,524.50","1,505.30",284.39K,0.59%
