Date,Price,Open,High,Low,Change%
"Nov 14, 2019",6.515,6.526,6.526,6.505,-0.20%
"Nov 13, 2019",6.528,6.554,6.554,6.526,-0.50%
"Nov 11, 2019",6.561,6.544,6.574,6.544,0.11%
"Nov 08, 2019",6.554,6.539,6.554,6.524,0.80%
"Nov 07, 2019",6.502,6.473,6.506,6.473,0.25%
"Nov 06, 2019",6.486,6.521,6.521,6.484,-0.43%
"Nov 05, 2019",6.514,6.482,6.528,6.482,0.66%
"Nov 04, 2019",6.471,6.457,6.473,6.449,0.40%
"Nov 01, 2019",6.445,6.431,6.446,6.415,-2.98%
"Oct 31, 2019",6.643,6.651,6.667,6.641,-0.32%
"Oct 30, 2019",6.664,6.67,6.673,6.657,-0.22%
"Oct 29, 2019",6.679,6.697,6.7,6.674,0.13%
"Oct 25, 2019",6.67,6.68,6.686,6.66,-0.12%
"Oct 24, 2019",6.678,6.698,6.708,6.674,0.00%
"Oct 23, 2019",6.678,6.695,6.695,6.671,-0.33%
"Oct 22, 2019",6.7,6.711,6.711,6.689,0.12%
"Oct 18, 2019",6.692,6.699,6.704,6.688,-0.10%
"Oct 17, 2019",6.699,6.656,6.718,6.636,0.65%
"Oct 16, 2019",6.656,6.669,6.673,6.642,-0.06%
"Oct 15, 2019",6.66,6.697,6.697,6.651,-0.15%
"Oct 14, 2019",6.67,6.737,6.739,6.67,-0.85%
"Oct 11, 2019",6.727,6.703,6.731,6.698,0.72%
"Oct 10, 2019",6.679,6.662,6.684,6.66,0.36%
"Oct 09, 2019",6.655,6.659,6.666,6.636,-0.21%
"Oct 07, 2019",6.669,6.693,6.693,6.66,-0.16%
"Oct 04, 2019",6.68,6.6,6.684,6.582,1.12%
"Oct 03, 2019",6.606,6.609,6.62,6.599,-0.77%
"Oct 01, 2019",6.657,6.68,6.702,6.652,-0.57%
"Sep 30, 2019",6.695,6.706,6.71,6.681,-0.51%
"Sep 27, 2019",6.729,6.774,6.774,6.708,0.28%
"Sep 26, 2019",6.71,6.762,6.771,6.697,-0.65%
"Sep 25, 2019",6.754,6.774,6.777,6.744,-0.31%
"Sep 24, 2019",6.775,6.741,6.782,6.733,0.53%
"Sep 23, 2019",6.739,6.767,6.801,6.73,-0.63%
"Sep 20, 2019",6.782,6.587,6.874,6.552,2.23%
"Sep 19, 2019",6.634,6.611,6.642,6.573,0.26%
"Sep 18, 2019",6.617,6.66,6.68,6.602,-1.65%
"Sep 17, 2019",6.728,6.728,6.737,6.7,0.27%
"Sep 16, 2019",6.71,6.723,6.746,6.683,1.19%
"Sep 13, 2019",6.631,6.666,6.674,6.607,-0.41%
"Sep 12, 2019",6.658,6.669,6.705,6.631,-0.24%
"Sep 11, 2019",6.674,6.606,6.675,6.595,1.58%
"Sep 09, 2019",6.57,6.606,6.606,6.563,-0.41%
"Sep 06, 2019",6.597,6.595,6.603,6.574,0.40%
"Sep 05, 2019",6.571,6.597,6.597,6.555,0.40%
"Sep 04, 2019",6.545,6.502,6.547,6.499,0.45%
"Sep 03, 2019",6.516,6.498,6.529,6.488,-0.61%
"Aug 30, 2019",6.556,6.562,6.582,6.553,0.20%
"Aug 29, 2019",6.543,6.571,6.624,6.537,-0.32%
"Aug 28, 2019",6.564,6.518,6.576,6.501,0.66%
"Aug 27, 2019",6.521,6.393,6.53,6.391,0.76%
"Aug 26, 2019",6.472,6.501,6.526,6.472,-1.40%
"Aug 23, 2019",6.564,6.567,6.578,6.551,0.15%
"Aug 22, 2019",6.554,6.585,6.586,6.531,-0.09%
"Aug 21, 2019",6.56,6.583,6.583,6.534,-0.27%
"Aug 20, 2019",6.578,6.584,6.627,6.572,-0.05%
"Aug 19, 2019",6.581,6.553,6.596,6.549,0.70%
"Aug 16, 2019",6.535,6.584,6.596,6.527,-1.28%
"Aug 14, 2019",6.62,6.541,6.639,6.523,1.56%
"Aug 13, 2019",6.518,6.503,6.538,6.496,0.37%
"Aug 09, 2019",6.494,6.404,6.523,6.399,1.44%
"Aug 08, 2019",6.402,6.381,6.404,6.364,0.52%
"Aug 07, 2019",6.369,6.314,6.398,6.296,0.49%
"Aug 06, 2019",6.338,6.361,6.381,6.325,-0.81%
"Aug 05, 2019",6.39,6.367,6.423,6.361,0.60%
"Aug 02, 2019",6.352,6.333,6.361,6.324,-1.11%
"Aug 01, 2019",6.423,6.394,6.432,6.384,0.85%
"Jul 31, 2019",6.369,6.403,6.403,6.359,-0.28%
"Jul 30, 2019",6.387,6.416,6.437,6.379,-0.39%
"Jul 29, 2019",6.412,6.452,6.46,6.412,-1.73%
"Jul 26, 2019",6.525,6.538,6.556,6.506,0.17%
"Jul 25, 2019",6.514,6.441,6.551,6.422,1.18%
"Jul 24, 2019",6.438,6.476,6.479,6.425,-0.40%
"Jul 23, 2019",6.464,6.452,6.477,6.408,0.72%
"Jul 22, 2019",6.418,6.424,6.453,6.406,0.90%
"Jul 19, 2019",6.361,6.383,6.385,6.348,-0.41%
"Jul 18, 2019",6.387,6.31,6.402,6.31,0.66%
"Jul 17, 2019",6.345,6.281,6.413,6.266,0.22%
"Jul 16, 2019",6.331,6.413,6.413,6.317,-1.59%
"Jul 15, 2019",6.433,6.459,6.467,6.43,-0.85%
"Jul 12, 2019",6.488,6.528,6.541,6.457,-0.08%
"Jul 11, 2019",6.493,6.558,6.562,6.487,-0.76%
"Jul 10, 2019",6.543,6.588,6.61,6.516,-0.68%
"Jul 09, 2019",6.588,6.555,6.61,6.555,0.40%
"Jul 08, 2019",6.562,6.713,6.713,6.562,-1.99%
"Jul 05, 2019",6.695,6.755,6.766,6.576,-0.83%
"Jul 04, 2019",6.751,6.837,6.849,6.751,-1.20%
"Jul 03, 2019",6.833,6.809,6.835,6.804,-0.19%
"Jul 02, 2019",6.846,6.86,6.876,6.829,-0.52%
"Jul 01, 2019",6.882,6.906,6.93,6.882,0.04%
"Jun 28, 2019",6.879,6.888,6.9,6.87,-0.26%
"Jun 27, 2019",6.897,6.957,6.957,6.88,-0.52%
"Jun 26, 2019",6.933,6.917,6.942,6.917,0.74%
"Jun 25, 2019",6.882,6.838,6.896,6.837,0.45%
"Jun 24, 2019",6.851,6.84,6.883,6.811,-0.15%
"Jun 21, 2019",6.861,6.825,6.893,6.825,1.03%
"Jun 20, 2019",6.791,6.769,6.791,6.734,-0.73%
"Jun 19, 2019",6.841,6.831,6.849,6.817,0.48%
"Jun 18, 2019",6.808,6.912,6.92,6.808,-1.77%
"Jun 17, 2019",6.931,6.933,6.947,6.915,0.17%
"Jun 14, 2019",6.919,6.993,6.997,6.914,-1.28%
"Jun 13, 2019",7.009,6.989,7.028,6.965,-0.04%
"Jun 12, 2019",7.012,7.022,7.025,6.995,-0.36%
"Jun 11, 2019",7.037,7.083,7.097,7.036,-0.57%
"Jun 10, 2019",7.077,6.984,7.087,6.983,1.48%
"Jun 07, 2019",6.974,6.951,6.984,6.948,0.62%
"Jun 06, 2019",6.931,7.012,7.012,6.876,-1.30%
"Jun 04, 2019",7.022,6.979,7.024,6.977,0.57%
