Date,in_consumer_confidence,in_gdp_yoy,in_industrial_production,in_interest_rate,in_manufacturing_production,in_wpi_inflation,in_imports,in_exports
01/01/1999,0,0,5.1,0,0,0,3.53,2.79
01/02/1999,0,0,3.5,0,0,0,3.44,2.74
01/03/1999,0,0,4.5,0,0,0,3.28,2.85
01/04/1999,0,0,4.7,0,0,0,3.69,3.28
01/05/1999,0,0,7.4,0,0,0,3.33,2.74
01/06/1999,0,0,4.8,0,0,0,3.66,2.67
01/07/1999,0,0,6.2,0,0,0,3.67,2.76
01/08/1999,0,0,7.3,0,0,0,4.21,3.14
01/09/1999,0,0,7.3,0,0,0,4.18,3.17
01/10/1999,0,0,8.4,0,0,0,4.63,3.17
01/11/1999,0,0,3.8,0,0,0,4.15,3.14
01/12/1999,0,7.6,8.1,0,0,0,4.12,2.94
01/01/2000,0,0,4.9,0,0,0,4.62,3.07
01/02/2000,0,0,8.2,0,0,0,3.88,2.75
01/03/2000,0,0,8.3,0,0,0,4.34,3.4
01/04/2000,0,0,6.5,0,0,0,4.87,3.86
01/05/2000,0,0,6,0,0,0,4.4,3.31
01/06/2000,0,0,5.9,0,0,0,4.37,3.58
01/07/2000,0,0,5,8,0,0,4.03,3.46
01/08/2000,0,0,4.9,14.5,0,0,4.49,3.53
01/09/2000,0,0,5.8,10,0,0,3.99,3.67
01/10/2000,0,0,6.6,8,0,0,4.25,3.85
01/11/2000,0,0,7.3,8,0,0,4.26,3.72
01/12/2000,0,4.3,3.5,8,0,0,4.7,3.6
01/01/2001,0,0,4.5,0,0,0,3.98,3.66
01/02/2001,0,0,2.9,7.5,0,0,4.01,3.67
01/03/2001,0,0,2.3,7,0,0,3.46,3.7
01/04/2001,0,0,2.5,6.75,0,0,4.62,4.31
01/05/2001,0,0,1.6,6.5,0,0,4.09,3.12
01/06/2001,0,0,2.6,6.5,0,0,4.67,3.63
01/07/2001,0,0,2.6,6.5,0,0,4.02,3.61
01/08/2001,0,0,3,6.5,0,0,4.92,3.43
01/09/2001,0,0,2,6.5,0,0,4.37,3.65
01/10/2001,0,0,3.2,6.5,0,0,3.9,3.7
01/11/2001,0,0,2.4,6.5,0,0,4.09,3.72
01/12/2001,0,5.5,3,6.5,0,0,4.16,3.58
01/01/2002,0,0,3.8,6.5,0,0,4.08,3.25
01/02/2002,0,0,2.4,6.5,0,0,4.24,4.25
01/03/2002,0,0,3.2,6,0,0,3.76,3.54
01/04/2002,0,0,4.1,6,0,0,4.43,4.14
01/05/2002,0,0,4.1,6,0,0,4.21,4.04
01/06/2002,0,0,4.5,5.75,0,0,5.18,4.08
01/07/2002,0,0,7.1,5.75,0,0,4.25,3.96
01/08/2002,0,0,6.2,5.75,0,0,4.87,4.58
01/09/2002,0,0,6.2,5.75,0,0,4.86,4.52
01/10/2002,0,0,7,5.5,0,0,5.09,4.48
01/11/2002,0,0,4.1,5.5,0,0,5.59,4.75
01/12/2002,0,4,6.2,5.5,0,0,5.07,4.05
01/01/2003,0,0,6.7,5.5,0,0,4.97,3.98
01/02/2003,0,0,7,5.5,0,0,5.57,4.85
01/03/2003,0,0,5.9,5,0,0,4.63,4.29
01/04/2003,0,0,4.2,5,0,0,5.89,5.15
01/05/2003,0,0,6.4,5,0,0,5.76,4.31
01/06/2003,0,0,6.7,5,0,0,6.18,4.7
01/07/2003,0,0,6.6,5,0,0,5.73,4.4
01/08/2003,0,0,5.7,4.5,0,0,5.78,4.64
01/09/2003,0,0,7.5,4.5,0,0,5.78,4.52
01/10/2003,0,0,6.2,4.5,0,0,6.3,5.48
01/11/2003,0,0,8.2,4.5,0,0,7.02,5.61
01/12/2003,0,8.1,7.4,4.5,0,0,6.47,4.9
01/01/2004,0,0,8,4.5,0,0,7.45,6.12
01/02/2004,0,0,8.3,4.5,0,0,6.9,5.22
01/03/2004,0,0,8.1,4.5,0,0,6.84,6.23
01/04/2004,0,0,8.9,4.5,0,0,8.03,7.86
01/05/2004,0,0,6.8,4.5,0,0,6.99,5.64
01/06/2004,0,8.3,7.3,4.5,0,0,8.07,5.96
01/07/2004,0,0,8.5,4.5,0,0,8.72,6.07
01/08/2004,0,0,8.6,4.5,0,0,7.87,5.82
01/09/2004,0,7.1,9.8,4.5,0,0,8.13,5.98
01/10/2004,0,0,10.6,4.75,0,0,9.42,6.92
01/11/2004,0,0,7.7,6,0,0,8.99,6.52
01/12/2004,0,5.5,8.9,6,0,0,9.36,7.09
01/01/2005,0,0,7.5,6,0,0,10.46,7.36
01/02/2005,0,0,5.9,6,0,0,11.01,8.19
01/03/2005,0,9,9.8,6,0,0,10.36,8.05
01/04/2005,0,0,8.1,6,0,0,12.37,10.16
01/05/2005,0,0,10.8,6,0,5.33,11.34,7.68
01/06/2005,0,9.4,12.2,6,0,4.59,13.23,7.98
