Date,Price,Open,High,Low,Change%
"Dec 27, 2019",0.756,0.774,0.775,0.747,-2.07%
"Dec 24, 2019",0.772,0.804,0.813,0.753,-0.39%
"Dec 23, 2019",0.775,0.765,0.784,0.744,-0.77%
"Dec 22, 2019",0.781,0.781,0.781,0.781,-0.38%
"Dec 20, 2019",0.784,0.802,0.826,0.783,-2.37%
"Dec 19, 2019",0.803,0.789,0.825,0.784,3.35%
"Dec 18, 2019",0.777,0.762,0.791,0.742,1.70%
"Dec 17, 2019",0.764,0.791,0.793,0.76,-7.39%
"Dec 16, 2019",0.825,0.797,0.828,0.754,4.30%
"Dec 13, 2019",0.791,0.895,0.895,0.787,-3.77%
"Dec 12, 2019",0.822,0.777,0.831,0.733,6.06%
"Dec 11, 2019",0.775,0.79,0.794,0.769,-3.25%
"Dec 10, 2019",0.801,0.771,0.804,0.766,4.71%
"Dec 09, 2019",0.765,0.766,0.775,0.74,0.33%
"Dec 08, 2019",0.762,0.762,0.762,0.762,-1.36%
"Dec 06, 2019",0.773,0.776,0.785,0.745,-0.26%
"Dec 05, 2019",0.775,0.743,0.793,0.742,4.45%
"Dec 04, 2019",0.742,0.674,0.743,0.652,10.75%
"Dec 03, 2019",0.67,0.753,0.765,0.666,-9.58%
"Dec 02, 2019",0.741,0.72,0.762,0.72,6.16%
"Dec 01, 2019",0.698,0.698,0.698,0.698,-0.29%
"Nov 29, 2019",0.7,0.675,0.713,0.663,3.40%
"Nov 28, 2019",0.677,0.686,0.689,0.66,-0.15%
"Nov 27, 2019",0.678,0.644,0.684,0.641,3.83%
"Nov 26, 2019",0.653,0.699,0.701,0.635,-6.31%
"Nov 25, 2019",0.697,0.71,0.725,0.681,-0.85%
"Nov 24, 2019",0.703,0.703,0.703,0.703,-0.57%
"Nov 22, 2019",0.707,0.773,0.777,0.691,-6.48%
"Nov 21, 2019",0.756,0.729,0.773,0.714,3.28%
"Nov 20, 2019",0.732,0.692,0.732,0.68,-0.27%
"Nov 19, 2019",0.734,0.757,0.763,0.727,-2.26%
"Nov 18, 2019",0.751,0.749,0.764,0.728,4.02%
"Nov 17, 2019",0.722,0.722,0.722,0.722,-0.96%
"Nov 15, 2019",0.729,0.727,0.737,0.71,2.68%
"Nov 14, 2019",0.71,0.757,0.757,0.709,-6.58%
"Nov 13, 2019",0.76,0.806,0.807,0.738,-5.82%
"Nov 12, 2019",0.807,0.811,0.833,0.795,-0.49%
"Nov 11, 2019",0.811,0.792,0.814,0.77,2.66%
"Nov 10, 2019",0.79,0.79,0.79,0.79,-0.13%
"Nov 08, 2019",0.791,0.772,0.832,0.763,-0.13%
"Nov 07, 2019",0.792,0.729,0.793,0.723,10.77%
"Nov 06, 2019",0.715,0.766,0.78,0.714,-7.62%
"Nov 05, 2019",0.774,0.75,0.777,0.717,7.05%
