Date,Price,Open,High,Low,Vol.,Change %
"Dec 27, 2019",132.14,131.89,132.21,131.87,-,0.68%
"Dec 24, 2019",131.25,131.22,131.22,130.72,0.03K,0.11%
"Dec 23, 2019",131.11,131.52,131.54,131.4,5.92K,-0.02%
"Dec 20, 2019",131.13,130.68,130.73,130.68,23.89K,-0.45%
"Dec 19, 2019",131.72,131.7,131.75,131.23,-,0.50%
"Dec 18, 2019",131.07,131.46,131.48,131.2,0.75K,-0.13%
"Dec 17, 2019",131.24,131.25,131.25,131.2,1.27K,0.51%
"Dec 16, 2019",130.58,131.17,131.17,130.88,1.76K,-0.24%
"Dec 13, 2019",130.9,130.19,130.56,130.19,0.42K,0.18%
"Dec 12, 2019",130.67,131.49,131.53,130.89,4.05K,-0.37%
"Dec 11, 2019",131.15,131.14,131.14,131.06,3.12K,0.11%
"Dec 10, 2019",131,131.18,131.18,130.91,17.72K,-0.23%
"Dec 09, 2019",131.3,131.39,131.55,131.39,1.07K,-0.01%
"Dec 06, 2019",131.31,131.21,131.53,131.13,1.82K,0.08%
"Dec 05, 2019",131.2,131.47,131.48,131.2,3.96K,-0.34%
"Dec 04, 2019",131.65,132.49,132.49,131.55,10.19K,-0.45%
"Dec 03, 2019",132.24,131.46,132.33,131.34,8.34K,0.52%
"Dec 02, 2019",131.56,131.57,131.74,131.35,4.61K,-0.37%
"Nov 29, 2019",132.05,132.31,132.44,131.9,11.99K,-0.21%
"Nov 28, 2019",132.33,132.19,132.46,132.19,27.74K,0.04%
"Nov 27, 2019",132.28,132.69,132.69,132.19,190.07K,-0.30%
"Nov 26, 2019",132.68,132.04,132.77,132.04,497.72K,0.42%
"Nov 25, 2019",132.12,131.96,132.28,131.77,691.72K,0.09%
"Nov 22, 2019",132,131.26,132.16,131.1,343.10K,0.43%
"Nov 21, 2019",131.44,131.84,131.89,131.17,262.39K,-0.24%
"Nov 20, 2019",131.75,132.17,132.28,131.63,193.32K,0.05%
"Nov 19, 2019",131.68,131.44,131.77,131.36,181.04K,0.08%
"Nov 18, 2019",131.58,131.6,131.75,131.32,152.31K,-0.14%
"Nov 15, 2019",131.77,131.71,131.9,131.59,129.65K,-0.06%
"Nov 14, 2019",131.85,131.37,131.93,131.36,162.39K,0.36%
