Date,uk_business_confidence,uk_composite_pmi,uk_consumer_confidence,uk_consumer_credit_change,uk_consumer_spending,uk_core_inflation_rate,uk_current_account,uk_disposasble_personal_income,uk_exports,uk_gdp,uk_gdp_yoy,uk_government_budget,uk_government_debt_to_gdp,uk_house_price_index,uk_households_debt_to_gdp,uk_imports,uk_industrial_production,uk_inflation_rate,uk_interest_rate,uk_manufacturing_pmi,uk_manufacturing_production,uk_money_supply_m2,uk_personal_savings_ratio,uk_population,uk_ppi_change_yoy,uk_private_debt_to_gdp,uk_retail_sales_yoy,uk_services_pmi,uk_unemployed_persons,uk_unemployment_rate,uk_wages,uk_youth_unemployment_rate
01/01/1999,0,0,-3,1245,0,1.2,0,0,19157,0,0,0,0,237.5,0,20504,-0.2,1.6,6,0,-0.9,515452,0,0,-0.7,0,0.5,0,1309.7,6.2,0,13.2
01/02/1999,0,0,-1,1304,0,1,0,0,19069,0,0,0,0,237.2,0,20313,-1,1.4,5.5,0,-2.2,517740,0,0,-0.1,0,0.6,0,1304.5,6.2,0,13
01/03/1999,-40,0,1,1314,215967,0.9,-6927,215731,19759,0,3,0,0,239.8,60.5,21055,-0.7,1.7,5.5,0,-1.4,518243,5.2,0,0.2,0,1.1,0,1297.5,6.2,0,12.8
01/04/1999,0,0,1,1200,0,0.9,0,0,19480,0,0,0,0,240.2,0,20746,-1.6,1.5,5.25,0,-2.1,523700,0,0,0.6,0,1.1,0,1288.1,6.2,0,12.9
01/05/1999,0,0,5,1074,0,0.8,0,0,19899,0,0,0,0,245.2,0,20683,0,1.3,5.25,0,-0.8,527894,0,0,0.5,0,1.4,0,1273.1,6.1,0,13.1
01/06/1999,-6,0,5,1194,219836,0.8,-5447,228303,19756,0,2.5,0,0,248.6,61.2,21539,0.6,1.3,5,0,0,529486,8.7,0,0.6,0,3.4,0,1263.1,6,0,13
01/07/1999,0,0,2,1379,0,0.7,0,0,20175,0,0,0,0,252.6,0,21915,0.7,1.3,5,0,-0.4,534494,0,0,0.6,0,2.2,0,1244.7,6,0,12.8
01/08/1999,0,0,4,1185,0,0.7,0,0,21088,0,0,0,0,255.5,0,22119,3,1.2,5,0,2.5,536482,0,0,0.6,0,2,0,1229,5.9,0,12.4
01/09/1999,5,0,2,1200,221686,0.5,-6710,227002,20941,0,3.6,0,0,255.7,62.1,21997,3.1,1.2,5.25,0,3.2,538097,7.7,0,1,0,2.1,0,1222.9,5.9,0,12
01/10/1999,0,0,2,1166,0,0.5,0,0,21048,0,0,0,0,263.7,0,22337,3,1.1,5.25,0,2.5,541689,0,0,1,0,3.3,0,1200.7,5.8,0,12
01/11/1999,0,0,-2,1251,0,0.4,0,0,21177,0,0,0,0,261.7,0,22814,3.4,1.2,5.5,0,3.5,544773,0,0,1.1,0,3.6,0,1184.1,5.8,0,12.1
01/12/1999,13,0,1,1299,224601,0.3,-5567,231204,20950,1652.17,4,0.7,40.2,268.5,63,22646,2.3,1.1,5.5,0,2.4,555857,8.6,58.58,1.2,169.58,4.5,0,1159.3,5.8,0,12.5
01/01/2000,0,0,8,1303,0,0.1,0,0,21075,0,0,0,0,274.7,0,22798,2.5,0.8,5.75,0,2.1,551099,0,0,1.3,0,5.7,0,1162.9,5.9,307,12.3
01/02/2000,0,0,2,1335,0,0.2,0,0,21086,0,0,0,0,272.5,0,22648,3.6,0.9,6,0,4.2,553125,0,0,1.2,0,4.5,0,1152.2,5.8,300,12.4
01/03/2000,9,0,-2,1615,228281,0.1,-5488,232868,21861,0,4.4,0,0,271.8,63.4,23005,2.7,0.6,6,0,3,557369,7.8,0,1.2,0,4.1,0,1144,5.8,311,12.7
01/04/2000,0,0,-4,928,0,0,0,0,21833,0,0,0,0,273.4,0,23534,3.5,0.6,6,0,3.8,560987,0,0,1.2,0,6.3,0,1113.3,5.7,310,12.7
01/05/2000,0,0,2,1552,0,0,0,0,22041,0,0,0,0,273.3,0,23740,2.9,0.5,6,0,3.2,563316,0,0,1.2,0,3.5,0,1104.7,5.6,312,12.3
01/06/2000,-2,0,0,1033,229449,-0.1,-6637,236633,22868,0,5,0,0,271.6,63.9,24415,2.8,0.8,6,0,2.9,565827,8.2,0,1.6,0,2.8,0,1093.6,5.5,311,11.8
01/07/2000,0,0,-3,1215,0,-0.1,0,0,22011,0,0,0,0,273.7,0,24452,1.4,0.9,6,0,1.7,568893,0,0,1.8,0,2.7,0,1074.7,5.3,314,11.7
01/08/2000,0,0,1,726,0,0,0,0,23013,0,0,0,0,274.5,0,24547,1,0.6,6,0,1.6,572413,0,0,1.4,0,3.8,0,1060.4,5.3,315,11.9
01/09/2000,-10,0,-5,1115,231976,0.1,-5969,242917,22782,0,3.5,0,0,280.4,64.2,24694,-0.1,1,6,0,-0.1,578745,9.6,0,1.4,0,3.9,0,1044.8,5.3,317,12
01/10/2000,0,0,0,1324,0,0.3,0,0,23494,0,0,0,0,277,0,25077,0,1,6,0,1.1,584987,0,0,1.7,0,3.9,0,1044.7,5.4,318,12
01/11/2000,0,0,-2,1201,0,0.2,0,0,23926,0,0,0,0,278.6,0,25655,0.6,1.1,6,0,1.6,583450,0,0,1.7,0,3.3,0,1035.6,5.3,320,12
01/12/2000,-9,0,-1,998,234144,0.2,-5134,244637,23879,1635.44,2.2,1.1,37.3,277,64.7,25743,1.3,0.8,6,0,2.2,594470,10.2,58.79,1.3,184.72,3.1,0,1029.9,5.2,325,11.9
01/01/2001,0,0,5,1051,0,0.5,0,0,24176,0,0,0,0,277.9,0,25632,1.1,0.9,6,0,2.1,594902,0,0,0.8,0,2.1,0,1008.6,5.2,324,11.9
01/02/2001,0,0,2,1305,0,0.4,0,0,24270,0,0,0,0,282.3,0,25904,-0.6,0.8,5.75,0,0.1,599449,0,0,0.6,0,5.1,0,999.5,5.2,326,11.6
01/03/2001,-3,0,3,1091,235084,0.5,-4316,247572,23778,0,2.5,0,0,284.8,65.4,25888,-0.4,0.9,5.75,0,0.2,605002,10.5,0,0.2,0,4.8,0,990.9,5.1,326,11.4
01/04/2001,0,0,1,1484,0,0.9,0,0,23677,0,0,0,0,289.2,0,25621,-1.3,1.2,5.5,0,-1.5,610625,0,0,-0.1,0,3.2,0,975.5,5,328,11.2
01/05/2001,0,0,2,1801,0,1.1,0,0,23453,0,0,0,0,292.5,0,25848,-1.5,1.7,5.25,0,-1.6,615049,0,0,0.2,0,6.5,0,974.9,4.9,327,11.3
01/06/2001,-29,0,6,1240,237171,1.3,-6477,247679,23525,0,2.5,0,0,297.4,66.5,26265,-1.9,1.7,5.25,0,-1.2,622688,9.8,0,-0.2,0,6.2,0,961.6,5,329,11.6
01/07/2001,0,0,4,1417,0,1.5,0,0,22998,0,0,0,0,299.4,0,25224,-1.8,1.4,5.25,0,-1.5,625164,0,0,-0.6,0,7.5,0,951.8,5,329,11.7
01/08/2001,0,0,0,1331,0,1.8,0,0,22541,0,0,0,0,304.9,0,25691,-1.2,1.8,5,0,-0.7,630136,0,0,-0.4,0,5.7,0,951.2,5.1,331,11.8
01/09/2001,-22,0,-1,1494,241146,1.3,-5794,251730,22449,0,2.9,0,0,304.3,67.8,24400,-1.3,1.3,4.75,0,-1.9,634599,9.7,0,-0.6,0,6.7,0,946.1,5.1,331,11.8
01/10/2001,0,0,-6,1605,0,1.1,0,0,22980,0,0,0,0,303,0,24904,-2.5,1.2,4.5,0,-2.7,638016,0,0,-0.9,0,6.7,0,953,5.1,333,12
01/11/2001,0,0,-3,1707,0,1.1,0,0,22391,0,0,0,0,311.1,0,24417,-3.7,0.8,4,0,-4.6,644403,0,0,-1.4,0,7.7,0,959.7,5.1,334,12.2
01/12/2001,-54,0,-1,1865,243781,1.4,-5154,255356,21830,1613.03,3.1,0.4,34.6,319.9,69.1,24382,-3.2,1.1,4,0,-4.6,646982,9.7,59,-1.2,197.51,8.6,0,966.5,5.2,336,12.1
01/01/2002,0,0,6,1852,0,1.7,0,0,22907,0,0,0,0,325.9,0,25214,-3.1,1.6,4,0,-4.4,650503,0,0,-0.7,0,6.7,0,958.2,5.2,336,11.8
01/02/2002,0,0,5,1972,0,1.6,0,0,22786,0,0,0,0,329.2,0,25426,-2.3,1.5,4,0,-2.9,654902,0,0,-0.6,0,6.7,0,951.9,5.1,335,12
01/03/2002,-31,0,3,1658,244788,1.6,-5858,253966,23157,0,2.2,0,0,331.6,70.1,25949,-1.6,1.5,4,0,-2.3,662401,9.3,0,-0.6,0,8,0,947.5,5.2,334,11.9
01/04/2002,0,0,4,1664,0,1.4,0,0,23615,0,0,0,0,334,0,26523,-0.7,1.4,4,0,-0.7,660662,0,0,-0.2,0,8.9,0,954.9,5.2,340,11.9
01/05/2002,0,0,6,1457,0,1.3,0,0,24836,0,0,0,0,347.1,0,27120,0.6,0.8,4,0,-0.3,667818,0,0,-0.5,0,6.2,0,947.1,5.2,340,11.7
01/06/2002,21,0,6,1681,247744,1.3,-7614,257609,23217,0,2.2,0,0,355.1,71.6,26173,-4.3,0.6,4,0,-6.6,674585,9.7,0,-0.4,0,5,0,949.7,5.2,341,12
01/07/2002,0,0,2,1832,0,1.5,0,0,24455,0,0,0,0,361.6,0,27254,-1.2,1.1,4,0,-1.1,677366,0,0,-0.2,0,5.8,0,950,5.2,342,11.9
01/08/2002,0,0,2,1945,0,1.3,0,0,22943,0,0,0,0,360.2,0,25649,-1.9,1,4,0,-2.4,681300,0,0,-0.1,0,6,0,945.7,5.2,341,12
01/09/2002,4,0,4,1923,249312,1.2,-4777,257315,23754,0,2.3,0,0,377.6,73.5,25980,-1,1,4,0,-1.2,686841,9.1,0,0,0,5.1,0,943.7,5.3,342,11.9
01/10/2002,0,0,1,2103,0,1.6,0,0,23090,0,0,0,0,393.6,0,26308,-0.5,1.4,4,0,-2,691205,0,0,0.2,0,5.2,0,939.5,5.2,342,12.2
01/11/2002,0,0,2,1331,0,1.6,0,0,22442,0,0,0,0,401.1,0,26159,-0.4,1.5,4,0,-0.7,699088,0,0,0.7,0,4.8,0,936.4,5.2,343,12.2
01/12/2002,-19,0,-4,1806,250759,1.7,-5182,257350,22829,1757.57,2.8,-2,34.7,392,74.6,25221,-0.6,1.7,4,0,-1.8,701194,8.2,59.24,0.8,219.86,3.8,0,935.2,5.1,344,12.1
01/01/2003,0,0,-3,1503,0,1.5,0,0,24646,0,0,0,0,398.2,0,26750,-1.5,1.3,4,0,-1.4,707324,0,0,1,0,3.4,0,939.3,5,345,12.4
01/02/2003,0,0,-9,1644,0,1.7,0,0,24851,0,0,0,0,406.4,0,26714,-0.9,1.6,3.75,0,-2.3,714955,0,0,1.1,0,2.2,0,942.5,5.1,342,12.6
01/03/2003,-19,0,-10,1807,253023,1.5,-2862,259414,24455,0,3.2,0,0,411.6,75.2,27394,-1.7,1.5,3.75,0,-2.4,716046,8.9,0,1.6,0,1.9,0,941.2,5.2,349,12.4
01/04/2003,0,0,-5,1790,0,1.5,0,0,25236,0,0,0,0,414.3,0,26419,-2,1.4,3.75,0,-2,722230,0,0,0.8,0,1.1,0,936.1,5.1,349,12.3
