Date,us_business_confidence,us_business_inventories,us_chicago_pmi,us_composite_pmi,us_consumer_confidence,us_consumer_credit_change,us_consumer_spending,us_core_pceinflation_rate,us_current_account,us_disposasble_personal_income,us_durable_goods_orders,us_exports,us_gdp,us_gdp_yoy,us_government_budget,us_government_debt_to_gdp,us_house_price_index,us_households_debt_to_gdp,us_imports,us_industrial_production,us_inflation_rate,us_interest_rate,us_manufacturing_pmi,us_manufacturing_production,us_money_supply_m2,us_non_manufacturing_pmi,us_personal_income_tax_rate,us_personal_savings_ratio,us_population,us_ppi_change_yoy,us_private_debt_to_gdp,us_producer_prices,us_retail_sales_yoy,us_services_pmi,us_unemployed_persons,us_unemployment_rate,us_wages,us_youth_unemployment_rate
01/01/1999,50.6,0,50.4,0,103.9,10.2,0,1.4,0,6742.4,4.5,78033,0,0,0,0,0.6,0,93980,3.7,1.7,4.75,50.6,4.1,4383.5,55.6,0,5.7,0,0.84,0,0,6.6,0,5976,4.3,13.27,10.2
01/02/1999,51.7,0.5,52.1,0,108.1,10.1,0,1.3,0,6762.6,-0.5,77635,0,0,0,0,0.4,0,96421,4.1,1.6,4.75,51.7,4.9,4406.5,54.4,0,5.6,0,0.46,0,0,7.7,0,6111,4.4,13.3,10.1
01/03/1999,52.4,0.7,55.6,0,105.7,9.6,7618.7,1.2,-60841,6775,-0.5,78449,0,4.8,0,0,0.4,64.7,96350,4.2,1.7,4.75,52.4,4.9,4413.7,55.3,0,5.3,0,0.77,0,0,7.6,0,5783,4.2,13.33,9.9
01/04/1999,52.3,0.3,61.2,0,104.6,6.8,0,1.3,0,6793.4,-0.9,78872,0,0,0,0,0.5,0,97125,4.1,2.3,4.75,52.3,4.8,4441.4,55.5,0,4.5,0,1.15,0,0,7,0,6004,4.3,13.38,10
01/05/1999,54.3,0.3,57.4,0,106.8,10.5,0,1.2,0,6810.3,1.6,78939,0,0,0,0,0.6,0,99168,4.2,2.1,4.75,54.3,5.3,4465.3,55.3,0,4.3,0,1.38,0,0,7.5,0,5796,4.2,13.43,9.6
01/06/1999,55.8,0.3,56.5,0,107.3,11.2,7731.5,1.4,-68085,6835,-1.8,79234,0,4.6,0,0,0.5,65.1,102349,4.7,2,5,55.8,5.7,4487,56.7,0,4.2,0,1.53,0,0,6.9,0,5951,4.3,13.47,10
01/07/1999,53.6,0.5,58.8,0,106,13.1,0,1.3,0,6860.7,3.6,80449,0,0,0,0,0.5,0,103870,5.7,2.1,5,53.6,6.6,4514,56.2,0,4.1,0,1.45,0,0,8.4,0,6025,4.3,13.52,9.9
01/08/1999,54.8,0.2,58.6,0,104.5,10.9,0,1.1,0,6902.1,0.2,81943,0,0,0,0,0.6,0,104920,4,2.3,5.25,54.8,4.7,4531.4,56.4,0,4,0,2.3,0,0,10.1,0,5838,4.2,13.54,9.6
01/09/1999,57,0.6,52,0,107.2,7.8,7819.3,1.4,-76889,6921.2,-0.3,83163,0,4.6,0,0,0.3,65.7,106063,3.8,2.6,5.25,57,4.5,4547,56.2,0,3.5,0,3.14,0,0,9.6,0,5915,4.2,13.61,10.2
01/10/1999,57.2,0.3,59.1,0,103.2,6.2,0,1.4,0,6975.5,3,83565,0,0,0,0,0.6,0,107096,4.4,2.6,5.25,57.2,5,4570.5,57.6,0,3.9,0,2.82,0,0,8,0,5778,4.1,13.64,10
01/11/1999,58.1,1.1,59.4,0,107.2,8.1,0,1.5,0,7031.1,-4.1,84441,0,0,0,0,0.4,0,109665,4.9,2.6,5.5,58.1,5.5,4589.3,54.9,0,4.1,0,3.06,0,0,8.4,0,5716,4.1,13.66,9.9
01/12/1999,57.8,0.8,56.7,0,105.4,5.8,7934.1,1.4,-82546,7106.1,5.2,85142,9660.62,4.7,1.3,58.9,0.5,66,111479,5.3,2.7,5.5,57.8,5.6,4617,56.9,0,3.7,279.04,2.9,173.3,0,9.4,0,5653,4,13.7,9.6
01/01/2000,56.7,0.2,59.3,0,111.4,7.4,0,1.5,0,7186.2,2.6,85646,0,0,0,0,1.2,0,112733,4.8,2.7,5.5,56.7,5.4,4645.6,56.6,0,4.7,0,2.51,0,0,8.6,0,5708,4,13.75,9.4
01/02/2000,55.8,0.6,57.2,0,111.3,10.7,0,1.7,0,7236.8,-8.7,86142,0,0,0,0,-0.1,0,116071,4.6,3.2,5.75,55.8,4.7,4658.7,56.2,0,4.2,0,3.98,0,0,9,0,5858,4.1,13.8,9.9
01/03/2000,54.9,0.4,56.3,0,107.1,12.3,8054.9,1.8,-94940,7285.9,4.5,87368,0,4.2,0,0,0.8,65.7,118523,4.8,3.8,6,54.9,5.5,4689.6,57.4,0,3.9,0,4.35,0,0,9.8,0,5733,4,13.84,9.6
01/04/2000,54.7,0.6,55.6,0,109.2,9.1,0,1.7,0,7309.2,1.5,88855,0,0,0,0,0.7,0,117655,5.3,3.1,6,54.7,5.8,4742.9,58,0,4.4,0,3.64,0,0,7.4,0,5481,3.8,13.9,9.2
01/05/2000,53.2,0.6,53.5,0,110.7,13,0,1.7,0,7342.2,-3.3,88017,0,0,0,0,0.5,0,117830,4.7,3.2,6.5,53.2,4.7,4733.6,57.7,0,4.3,0,3.7,0,0,6.5,0,5758,4,13.94,9.8
01/06/2000,51.4,0.9,53.4,0,106.4,26,8132.2,1.7,-96866,7383.3,16.5,90771,0,5.3,0,0,0.7,66.1,121737,5,3.7,6.5,51.4,5.3,4750.8,56.9,0,4.2,0,4.45,0,0,7,0,5651,4,13.98,9.3
01/07/2000,52.5,0.1,52.1,0,108.3,20.2,0,1.8,0,7440.1,-13.9,90421,0,0,0,0,0.5,0,121848,4.2,3.7,6.5,52.5,4.9,4768.7,55.3,0,4.6,0,4.29,0,0,5.9,0,5747,4,14.03,9.3
