Date,High
31/12/1998,87.5
01/01/1999,.
04/01/1999,88.64
05/01/1999,88.97
06/01/1999,89.15
07/01/1999,88.5
08/01/1999,88.64
11/01/1999,88.45
12/01/1999,88.12
13/01/1999,87.86
14/01/1999,87.31
15/01/1999,87.58
18/01/1999,.
19/01/1999,88.05
20/01/1999,87.71
21/01/1999,87.52
22/01/1999,87.28
25/01/1999,87.37
26/01/1999,87.09
27/01/1999,86.6
28/01/1999,85.87
29/01/1999,85.43
01/02/1999,85.81
02/02/1999,86.03
03/02/1999,86.39
04/02/1999,86.53
05/02/1999,86.18
08/02/1999,86.2
09/02/1999,86.06
10/02/1999,85.27
11/02/1999,84.86
12/02/1999,84.06
15/02/1999,.
16/02/1999,84.07
17/02/1999,83.63
18/02/1999,84.02
19/02/1999,84.01
22/02/1999,84.99
23/02/1999,85.18
24/02/1999,85.16
25/02/1999,84.77
26/02/1999,84.41
01/03/1999,84.68
02/03/1999,84.47
03/03/1999,84.31
04/03/1999,84.45
05/03/1999,84.88
08/03/1999,84.75
09/03/1999,84.92
10/03/1999,84.72
11/03/1999,84.59
12/03/1999,84.51
15/03/1999,83.96
16/03/1999,83.42
17/03/1999,83.37
18/03/1999,83.01
19/03/1999,82.78
22/03/1999,82.18
23/03/1999,81.77
24/03/1999,81.85
25/03/1999,81.86
26/03/1999,81.9
29/03/1999,82.46
30/03/1999,82.52
31/03/1999,83.1
01/04/1999,82.59
02/04/1999,.
05/04/1999,82.76
06/04/1999,82.57
07/04/1999,82.35
08/04/1999,82.62
09/04/1999,82.64
12/04/1999,83.22
13/04/1999,83.75
14/04/1999,84.71
15/04/1999,86.26
16/04/1999,89.26
19/04/1999,90.88
20/04/1999,90.6
21/04/1999,90.64
22/04/1999,91.09
23/04/1999,91.25
26/04/1999,90.83
27/04/1999,90.25
28/04/1999,90.66
29/04/1999,90.6
30/04/1999,91.61
03/05/1999,92.03
04/05/1999,91.98
05/05/1999,92.32
06/05/1999,92.37
07/05/1999,92.68
10/05/1999,94.06
11/05/1999,94.4
12/05/1999,94.64
13/05/1999,94.56
14/05/1999,93.46
17/05/1999,92.78
18/05/1999,92.2
19/05/1999,92.64
20/05/1999,93.65
21/05/1999,94.26
24/05/1999,93.81
25/05/1999,93.41
26/05/1999,92.39
27/05/1999,92.38
28/05/1999,92.81
31/05/1999,.
01/06/1999,92.73
02/06/1999,92.58
03/06/1999,92.91
04/06/1999,92.82
07/06/1999,92.75
08/06/1999,92.24
09/06/1999,92.1
10/06/1999,91.63
11/06/1999,91.24
14/06/1999,91.11
15/06/1999,91.94
16/06/1999,92.37
17/06/1999,92.38
18/06/1999,92.16
21/06/1999,91.98
22/06/1999,91.45
23/06/1999,90.74
24/06/1999,90.12
25/06/1999,89.79
28/06/1999,90.24
29/06/1999,90.15
30/06/1999,90.31
01/07/1999,90.15
02/07/1999,90.26
05/07/1999,.
06/07/1999,89.77
07/07/1999,89.13
08/07/1999,88.36
09/07/1999,88.52
12/07/1999,88.84
13/07/1999,88.68
14/07/1999,88.39
15/07/1999,88.83
16/07/1999,88.76
19/07/1999,88.47
20/07/1999,87.96
21/07/1999,87.77
22/07/1999,87.41
23/07/1999,87.09
26/07/1999,86.44
27/07/1999,86.48
28/07/1999,86.26
29/07/1999,85.72
30/07/1999,86.51
02/08/1999,85.99
03/08/1999,85.74
04/08/1999,84.88
05/08/1999,84.59
06/08/1999,84.33
09/08/1999,83.83
10/08/1999,83.42
11/08/1999,83.49
12/08/1999,83.76
13/08/1999,84.38
16/08/1999,84.47
17/08/1999,84.71
18/08/1999,84.94
19/08/1999,84.79
20/08/1999,85.04
23/08/1999,85.18
24/08/1999,84.73
25/08/1999,84.46
26/08/1999,84.26
27/08/1999,84.15
30/08/1999,83.63
31/08/1999,84.65
01/09/1999,84.3
02/09/1999,83.74
03/09/1999,84.45
06/09/1999,.
07/09/1999,84.61
08/09/1999,84.19
09/09/1999,84.03
10/09/1999,83.83
13/09/1999,83.53
14/09/1999,82.83
15/09/1999,82.4
16/09/1999,82.24
17/09/1999,82.27
20/09/1999,82.05
21/09/1999,81.22
22/09/1999,80.92
23/09/1999,80.67
24/09/1999,80.19
27/09/1999,80.11
28/09/1999,79.74
29/09/1999,79.48
30/09/1999,80.13
01/10/1999,79.57
04/10/1999,79.9
05/10/1999,80.19
06/10/1999,80.12
07/10/1999,79.4
08/10/1999,79.19
11/10/1999,79.49
12/10/1999,79.29
13/10/1999,78.48
14/10/1999,78.07
15/10/1999,77.36
18/10/1999,77.15
19/10/1999,77.2
20/10/1999,77.29
21/10/1999,76.66
22/10/1999,76.9
25/10/1999,76.8
26/10/1999,76.42
27/10/1999,76.46
28/10/1999,76.94
29/10/1999,78.27
01/11/1999,78.44
02/11/1999,79.25
03/11/1999,79.65
04/11/1999,79.14
05/11/1999,78.87
08/11/1999,79.07
09/11/1999,78.91
10/11/1999,78.65
11/11/1999,78.47
12/11/1999,78.25
15/11/1999,77.67
16/11/1999,77.88
17/11/1999,77.89
18/11/1999,77.53
19/11/1999,77.81
22/11/1999,77.18
23/11/1999,76.72
24/11/1999,76.61
25/11/1999,.
26/11/1999,76.5
29/11/1999,76.18
30/11/1999,76.56
01/12/1999,76.69
02/12/1999,76.23
03/12/1999,76.47
06/12/1999,76.1
07/12/1999,75.84
08/12/1999,75.19
09/12/1999,74.96
10/12/1999,74.3
13/12/1999,73.74
14/12/1999,72.72
15/12/1999,72.73
16/12/1999,72.76
17/12/1999,75.58
20/12/1999,76.49
21/12/1999,76.52
22/12/1999,76.25
23/12/1999,76.51
24/12/1999,.
27/12/1999,76.77
28/12/1999,77.43
29/12/1999,77.91
30/12/1999,78.2
31/12/1999,78.52
03/01/2000,77.69
04/01/2000,76.93
05/01/2000,77.27
06/01/2000,78.58
07/01/2000,80.32
10/01/2000,81.34
11/01/2000,81.05
12/01/2000,80.62
13/01/2000,80.47
14/01/2000,80.32
17/01/2000,.
18/01/2000,80.77
19/01/2000,81.19
